model,condition,seed,class_id,action,support,clean_accuracy,accuracy
stgcn,joint_missing_mild,2026,8,standing up (from sitting position),273,0.9805,0.9084
stgcn,joint_missing_mild,2026,9,clapping,273,0.7827,0.6777
stgcn,joint_missing_mild,2026,10,reading,273,0.6032,0.293
stgcn,joint_missing_mild,2026,11,writing,272,0.5245,0.3493
stgcn,joint_missing_mild,2026,12,tear up paper,271,0.8954,0.6273
stgcn,joint_missing_mild,2026,13,wear jacket,275,0.983,0.9745
stgcn,joint_missing_mild,2026,14,take off jacket,276,0.9589,0.9275
stgcn,joint_missing_mild,2026,15,wear a shoe,273,0.6545,0.5201
stgcn,joint_missing_mild,2026,16,take off a shoe,274,0.7798,0.5474
stgcn,joint_missing_mild,2026,17,wear on glasses,273,0.906,0.685
stgcn,joint_missing_mild,2026,18,take off glasses,274,0.9343,0.7263
stgcn,joint_missing_mild,2026,19,put on a hat/cap,272,0.9498,0.8088
stgcn,joint_missing_mild,2026,20,take off a hat/cap,273,0.9731,0.8828
stgcn,joint_missing_mild,2026,21,cheer up,274,0.9234,0.6788
stgcn,joint_missing_mild,2026,22,hand waving,274,0.9063,0.646
stgcn,joint_missing_mild,2026,23,kicking something,276,0.9372,0.2681
stgcn,joint_missing_mild,2026,24,reach into pocket,274,0.8358,0.3394
stgcn,joint_missing_mild,2026,25,hopping (one foot jumping),275,0.9879,0.8873
stgcn,joint_missing_mild,2026,26,jump up,276,0.9964,0.9565
stgcn,joint_missing_mild,2026,27,make a phone call/answer phone,275,0.8679,0.2255
stgcn,joint_missing_mild,2026,28,playing with phone/tablet,275,0.6824,0.4473
stgcn,joint_missing_mild,2026,29,typing on a keyboard,275,0.7515,0.7527
stgcn,joint_missing_mild,2026,30,pointing to something with finger,276,0.7585,0.3913
stgcn,joint_missing_mild,2026,31,taking a selfie,276,0.8925,0.6449
stgcn,joint_missing_mild,2026,32,check time (from watch),276,0.8829,0.7355
stgcn,joint_missing_mild,2026,33,rub two hands together,276,0.8829,0.5652
stgcn,joint_missing_mild,2026,34,nod head/bow,276,0.965,0.808
stgcn,joint_missing_mild,2026,35,shake head,275,0.9418,0.4073
stgcn,joint_missing_mild,2026,36,wipe face,276,0.8321,0.5145
stgcn,joint_missing_mild,2026,37,salute,276,0.9179,0.5036
stgcn,joint_missing_mild,2026,38,put the palms together,276,0.9408,0.4312
stgcn,joint_missing_mild,2026,39,cross hands in front (say stop),276,0.8998,0.8696
stgcn,joint_missing_mild,2026,40,sneeze/cough,276,0.7379,0.4058
stgcn,joint_missing_mild,2026,41,staggering,276,0.9915,0.1812
stgcn,joint_missing_mild,2026,42,falling,275,0.9855,0.5782
stgcn,joint_missing_mild,2026,43,touch head (headache),276,0.7657,0.4457
stgcn,joint_missing_mild,2026,44,touch chest (stomachache/heart pain),276,0.9058,0.6486
stgcn,joint_missing_mild,2026,45,touch back (backache),276,0.9263,0.5942
stgcn,joint_missing_mild,2026,46,touch neck (neckache),276,0.8816,0.2283
stgcn,joint_missing_mild,2026,47,nausea or vomiting condition,275,0.8509,0.8509
stgcn,joint_missing_mild,2026,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.8655
stgcn,joint_missing_mild,2026,49,punching/slapping other person,274,0.8662,0.4526
stgcn,joint_missing_mild,2026,50,kicking other person,276,0.9167,0.058
stgcn,joint_missing_mild,2026,51,pushing other person,276,0.971,0.5399
stgcn,joint_missing_mild,2026,52,pat on back of other person,276,0.942,0.5942
stgcn,joint_missing_mild,2026,53,point finger at the other person,276,0.907,0.2609
stgcn,joint_missing_mild,2026,54,hugging other person,274,0.9757,0.7993
stgcn,joint_missing_mild,2026,55,giving something to other person,276,0.9348,0.5217
stgcn,joint_missing_mild,2026,56,touch other person's pocket,275,0.9285,0.2509
stgcn,joint_missing_mild,2026,57,handshaking,276,0.9517,0.1775
stgcn,joint_missing_mild,2026,58,walking towards each other,273,0.9939,0.2857
stgcn,joint_missing_mild,2026,59,walking apart from each other,276,0.9626,0.8659
stgcn,joint_missing_mild,3407,0,drink water,274,0.8759,0.6898
stgcn,joint_missing_mild,3407,1,eat meal/snack,275,0.7394,0.5636
stgcn,joint_missing_mild,3407,2,brushing teeth,273,0.8584,0.4469
stgcn,joint_missing_mild,3407,3,brushing hair,273,0.9048,0.6337
stgcn,joint_missing_mild,3407,4,drop,275,0.8315,0.3673
stgcn,joint_missing_mild,3407,5,pickup,275,0.9527,0.8
stgcn,joint_missing_mild,3407,6,throw,275,0.9115,0.6727
stgcn,joint_missing_mild,3407,7,sitting down,273,0.9658,0.8681
stgcn,joint_missing_mild,3407,8,standing up (from sitting position),273,0.9805,0.9634
stgcn,joint_missing_mild,3407,9,clapping,273,0.7827,0.4615
stgcn,joint_missing_mild,3407,10,reading,273,0.6032,0.2198
stgcn,joint_missing_mild,3407,11,writing,272,0.5245,0.3051
stgcn,joint_missing_mild,3407,12,tear up paper,271,0.8954,0.6347
stgcn,joint_missing_mild,3407,13,wear jacket,275,0.983,0.9855
stgcn,joint_missing_mild,3407,14,take off jacket,276,0.9589,0.8877
stgcn,joint_missing_mild,3407,15,wear a shoe,273,0.6545,0.5421
stgcn,joint_missing_mild,3407,16,take off a shoe,274,0.7798,0.4635
stgcn,joint_missing_mild,3407,17,wear on glasses,273,0.906,0.7216
stgcn,joint_missing_mild,3407,18,take off glasses,274,0.9343,0.6533
stgcn,joint_missing_mild,3407,19,put on a hat/cap,272,0.9498,0.8088
stgcn,joint_missing_mild,3407,20,take off a hat/cap,273,0.9731,0.8352
stgcn,joint_missing_mild,3407,21,cheer up,274,0.9234,0.708
stgcn,joint_missing_mild,3407,22,hand waving,274,0.9063,0.6971
stgcn,joint_missing_mild,3407,23,kicking something,276,0.9372,0.558
stgcn,joint_missing_mild,3407,24,reach into pocket,274,0.8358,0.5255
stgcn,joint_missing_mild,3407,25,hopping (one foot jumping),275,0.9879,0.8255
stgcn,joint_missing_mild,3407,26,jump up,276,0.9964,0.971
stgcn,joint_missing_mild,3407,27,make a phone call/answer phone,275,0.8679,0.2982
stgcn,joint_missing_mild,3407,28,playing with phone/tablet,275,0.6824,0.2982
stgcn,joint_missing_mild,3407,29,typing on a keyboard,275,0.7515,0.8436
stgcn,joint_missing_mild,3407,30,pointing to something with finger,276,0.7585,0.5181
stgcn,joint_missing_mild,3407,31,taking a selfie,276,0.8925,0.6196
stgcn,joint_missing_mild,3407,32,check time (from watch),276,0.8829,0.7572
stgcn,joint_missing_mild,3407,33,rub two hands together,276,0.8829,0.6232
stgcn,joint_missing_mild,3407,34,nod head/bow,276,0.965,0.8551
stgcn,joint_missing_mild,3407,35,shake head,275,0.9418,0.7855
stgcn,joint_missing_mild,3407,36,wipe face,276,0.8321,0.3406
stgcn,joint_missing_mild,3407,37,salute,276,0.9179,0.5036
stgcn,joint_missing_mild,3407,38,put the palms together,276,0.9408,0.5978
stgcn,joint_missing_mild,3407,39,cross hands in front (say stop),276,0.8998,0.9167
