model,condition,class_id,action,support,clean_accuracy,mean_accuracy,std_accuracy,absolute_drop
stgcn,limb_occlusion_mild,20,take off a hat/cap,273,0.9731,0.8034,0.0238,0.1697
stgcn,limb_occlusion_mild,21,cheer up,274,0.9234,0.8601,0.0076,0.0633
stgcn,limb_occlusion_mild,22,hand waving,274,0.9063,0.764,0.0138,0.1423
stgcn,limb_occlusion_mild,23,kicking something,276,0.9372,0.8514,0.0283,0.0857
stgcn,limb_occlusion_mild,24,reach into pocket,274,0.8358,0.7238,0.0147,0.1119
stgcn,limb_occlusion_mild,25,hopping (one foot jumping),275,0.9879,0.9358,0.0263,0.0521
stgcn,limb_occlusion_mild,26,jump up,276,0.9964,0.9058,0.0583,0.0906
stgcn,limb_occlusion_mild,27,make a phone call/answer phone,275,0.8679,0.7115,0.0151,0.1564
stgcn,limb_occlusion_mild,28,playing with phone/tablet,275,0.6824,0.5915,0.0021,0.0909
stgcn,limb_occlusion_mild,29,typing on a keyboard,275,0.7515,0.5939,0.0258,0.1576
stgcn,limb_occlusion_mild,30,pointing to something with finger,276,0.7585,0.5918,0.0137,0.1667
stgcn,limb_occlusion_mild,31,taking a selfie,276,0.8925,0.7367,0.0055,0.1558
stgcn,limb_occlusion_mild,32,check time (from watch),276,0.8829,0.6836,0.0042,0.1993
stgcn,limb_occlusion_mild,33,rub two hands together,276,0.8829,0.7633,0.0293,0.1196
stgcn,limb_occlusion_mild,34,nod head/bow,276,0.965,0.8007,0.0346,0.1643
stgcn,limb_occlusion_mild,35,shake head,275,0.9418,0.7927,0.0289,0.1491
stgcn,limb_occlusion_mild,36,wipe face,276,0.8321,0.6498,0.0429,0.1824
stgcn,limb_occlusion_mild,37,salute,276,0.9179,0.7319,0.0126,0.186
stgcn,limb_occlusion_mild,38,put the palms together,276,0.9408,0.814,0.0221,0.1268
stgcn,limb_occlusion_mild,39,cross hands in front (say stop),276,0.8998,0.7609,0.0192,0.1389
stgcn,limb_occlusion_mild,40,sneeze/cough,276,0.7379,0.5326,0.0109,0.2053
stgcn,limb_occlusion_mild,41,staggering,276,0.9915,0.942,0.0096,0.0495
stgcn,limb_occlusion_mild,42,falling,275,0.9855,0.9648,0.0105,0.0206
stgcn,limb_occlusion_mild,43,touch head (headache),276,0.7657,0.6232,0.0181,0.1425
stgcn,limb_occlusion_mild,44,touch chest (stomachache/heart pain),276,0.9058,0.7971,0.0036,0.1087
stgcn,limb_occlusion_mild,45,touch back (backache),276,0.9263,0.837,0.0349,0.0894
stgcn,limb_occlusion_mild,46,touch neck (neckache),276,0.8816,0.7802,0.0257,0.1014
stgcn,limb_occlusion_mild,47,nausea or vomiting condition,275,0.8509,0.6861,0.0255,0.1648
stgcn,limb_occlusion_mild,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.8,0.0063,0.1261
stgcn,limb_occlusion_mild,49,punching/slapping other person,274,0.8662,0.7263,0.0193,0.1399
stgcn,limb_occlusion_mild,50,kicking other person,276,0.9167,0.7935,0.0471,0.1232
stgcn,limb_occlusion_mild,51,pushing other person,276,0.971,0.9094,0.031,0.0616
stgcn,limb_occlusion_mild,52,pat on back of other person,276,0.942,0.8623,0.031,0.0797
stgcn,limb_occlusion_mild,53,point finger at the other person,276,0.907,0.6848,0.0261,0.2222
stgcn,limb_occlusion_mild,54,hugging other person,274,0.9757,0.9124,0.0203,0.0633
stgcn,limb_occlusion_mild,55,giving something to other person,276,0.9348,0.843,0.0241,0.0918
stgcn,limb_occlusion_mild,56,touch other person's pocket,275,0.9285,0.8618,0.0167,0.0667
stgcn,limb_occlusion_mild,57,handshaking,276,0.9517,0.7983,0.0206,0.1534
stgcn,limb_occlusion_mild,58,walking towards each other,273,0.9939,0.9634,0.0168,0.0305
stgcn,limb_occlusion_mild,59,walking apart from each other,276,0.9626,0.9662,0.0055,-0.0036
stgcn,coord_noise_mild,0,drink water,274,0.8759,0.545,0.031,0.3309
stgcn,coord_noise_mild,1,eat meal/snack,275,0.7394,0.5079,0.0564,0.2315
stgcn,coord_noise_mild,2,brushing teeth,273,0.8584,0.4957,0.1162,0.3626
stgcn,coord_noise_mild,3,brushing hair,273,0.9048,0.4591,0.0716,0.4457
stgcn,coord_noise_mild,4,drop,275,0.8315,0.5358,0.0516,0.2958
stgcn,coord_noise_mild,5,pickup,275,0.9527,0.9321,0.0128,0.0206
stgcn,coord_noise_mild,6,throw,275,0.9115,0.743,0.0187,0.1685
stgcn,coord_noise_mild,7,sitting down,273,0.9658,0.9316,0.0215,0.0342
stgcn,coord_noise_mild,8,standing up (from sitting position),273,0.9805,0.9621,0.0076,0.0183
stgcn,coord_noise_mild,9,clapping,273,0.7827,0.674,0.0666,0.1087
stgcn,coord_noise_mild,10,reading,273,0.6032,0.1832,0.0858,0.42
stgcn,coord_noise_mild,11,writing,272,0.5245,0.5086,0.1454,0.0159
stgcn,coord_noise_mild,12,tear up paper,271,0.8954,0.4834,0.0931,0.4121
stgcn,coord_noise_mild,13,wear jacket,275,0.983,0.9782,0.0096,0.0048
stgcn,coord_noise_mild,14,take off jacket,276,0.9589,0.9287,0.0091,0.0302
stgcn,coord_noise_mild,15,wear a shoe,273,0.6545,0.5458,0.03,0.1087
stgcn,coord_noise_mild,16,take off a shoe,274,0.7798,0.5535,0.0663,0.2263
stgcn,coord_noise_mild,17,wear on glasses,273,0.906,0.7631,0.0707,0.1429
stgcn,coord_noise_mild,18,take off glasses,274,0.9343,0.7238,0.1354,0.2105
stgcn,coord_noise_mild,19,put on a hat/cap,272,0.9498,0.7488,0.0403,0.201
