model,condition,class_id,action,support,clean_accuracy,mean_accuracy,absolute_drop
stgcnpp,joint_missing_severe,8,standing up (from sitting position),273,0.9792,0.0012,0.978
stgcnpp,joint_missing_severe,7,sitting down,273,0.9707,0.0012,0.9695
stgcnpp,joint_missing_severe,20,take off a hat/cap,273,0.9744,0.0061,0.9683
stgcnpp,joint_missing_severe,14,take off jacket,276,0.9734,0.0072,0.9662
stgcnpp,joint_missing_severe,19,put on a hat/cap,272,0.9681,0.0025,0.9657
stgcnpp,limb_occlusion_severe,41,staggering,276,0.9952,0.1316,0.8635
stgcnpp,limb_occlusion_severe,39,cross hands in front (say stop),276,0.936,0.1111,0.8249
stgcnpp,limb_occlusion_severe,58,walking towards each other,273,0.9951,0.21,0.7851
stgcnpp,limb_occlusion_severe,42,falling,275,0.9891,0.2206,0.7685
stgcnpp,limb_occlusion_severe,53,point finger at the other person,276,0.9058,0.1522,0.7536
stgcnpp,limb_occlusion_severe,5,pickup,275,0.9576,0.2133,0.7442
stgcnpp,limb_occlusion_severe,47,nausea or vomiting condition,275,0.8448,0.1673,0.6776
stgcnpp,limb_occlusion_severe,13,wear jacket,275,0.983,0.3127,0.6703
stgcnpp,limb_occlusion_severe,36,wipe face,276,0.8829,0.2258,0.657
stgcnpp,limb_occlusion_severe,38,put the palms together,276,0.9348,0.2874,0.6473
stgcnpp,coord_noise_severe,26,jump up,276,0.9988,0.0,0.9988
stgcnpp,coord_noise_severe,41,staggering,276,0.9952,0.0,0.9952
stgcnpp,coord_noise_severe,25,hopping (one foot jumping),275,0.9879,0.0,0.9879
stgcnpp,coord_noise_severe,8,standing up (from sitting position),273,0.9792,0.0,0.9792
stgcnpp,coord_noise_severe,20,take off a hat/cap,273,0.9744,0.0,0.9744
stgcnpp,coord_noise_severe,14,take off jacket,276,0.9734,0.0012,0.9722
stgcnpp,coord_noise_severe,19,put on a hat/cap,272,0.9681,0.0,0.9681
stgcnpp,coord_noise_severe,51,pushing other person,276,0.9601,0.0,0.9601
stgcnpp,coord_noise_severe,18,take off glasses,274,0.9526,0.0,0.9526
stgcnpp,coord_noise_severe,35,shake head,275,0.9467,0.0,0.9467
stgcnpp,frame_missing_severe,53,point finger at the other person,276,0.9058,0.4034,0.5024
stgcnpp,frame_missing_severe,49,punching/slapping other person,274,0.9027,0.4185,0.4842
stgcnpp,frame_missing_severe,18,take off glasses,274,0.9526,0.4708,0.4818
stgcnpp,frame_missing_severe,51,pushing other person,276,0.9601,0.4855,0.4746
stgcnpp,frame_missing_severe,46,touch neck (neckache),276,0.843,0.378,0.465
stgcnpp,frame_missing_severe,52,pat on back of other person,276,0.9239,0.5097,0.4143
stgcnpp,frame_missing_severe,24,reach into pocket,274,0.8285,0.4246,0.4039
stgcnpp,frame_missing_severe,27,make a phone call/answer phone,275,0.8933,0.4897,0.4036
stgcnpp,frame_missing_severe,20,take off a hat/cap,273,0.9744,0.5861,0.3883
stgcnpp,frame_missing_severe,36,wipe face,276,0.8829,0.4952,0.3877
stgcnpp,mixed_severe,41,staggering,276,0.9952,0.0616,0.9336
stgcnpp,mixed_severe,51,pushing other person,276,0.9601,0.0773,0.8829
stgcnpp,mixed_severe,42,falling,275,0.9891,0.1067,0.8824
stgcnpp,mixed_severe,39,cross hands in front (say stop),276,0.936,0.0628,0.8732
stgcnpp,mixed_severe,5,pickup,275,0.9576,0.0897,0.8679
stgcnpp,mixed_severe,18,take off glasses,274,0.9526,0.09,0.8625
stgcnpp,mixed_severe,35,shake head,275,0.9467,0.0861,0.8606
stgcnpp,mixed_severe,53,point finger at the other person,276,0.9058,0.0483,0.8575
stgcnpp,mixed_severe,38,put the palms together,276,0.9348,0.0809,0.8539
stgcnpp,mixed_severe,58,walking towards each other,273,0.9951,0.1441,0.851
ctrgcn,clean,0,drink water,274,0.8601,0.8601,0.0
ctrgcn,clean,1,eat meal/snack,275,0.7261,0.7261,0.0
ctrgcn,clean,2,brushing teeth,273,0.873,0.873,0.0
ctrgcn,clean,3,brushing hair,273,0.917,0.917,0.0
ctrgcn,clean,4,drop,275,0.8873,0.8873,0.0
ctrgcn,clean,5,pickup,275,0.9697,0.9697,0.0
ctrgcn,clean,6,throw,275,0.9321,0.9321,0.0
ctrgcn,clean,7,sitting down,273,0.9683,0.9683,0.0
ctrgcn,clean,8,standing up (from sitting position),273,0.9792,0.9792,0.0
ctrgcn,clean,9,clapping,273,0.7741,0.7741,0.0
ctrgcn,joint_missing_mild,41,staggering,276,0.9867,0.349,0.6377
ctrgcn,joint_missing_mild,35,shake head,275,0.9503,0.4085,0.5418
ctrgcn,joint_missing_mild,46,touch neck (neckache),276,0.8502,0.4094,0.4408
ctrgcn,joint_missing_mild,52,pat on back of other person,276,0.9143,0.4867,0.4275
ctrgcn,joint_missing_mild,28,playing with phone/tablet,275,0.6958,0.2861,0.4097
ctrgcn,joint_missing_mild,27,make a phone call/answer phone,275,0.9079,0.52,0.3879
ctrgcn,joint_missing_mild,45,touch back (backache),276,0.9444,0.564,0.3804
ctrgcn,joint_missing_mild,50,kicking other person,276,0.9541,0.5737,0.3804
ctrgcn,joint_missing_mild,36,wipe face,276,0.8551,0.4819,0.3732
ctrgcn,joint_missing_mild,43,touch head (headache),276,0.8345,0.4626,0.372
ctrgcn,limb_occlusion_mild,47,nausea or vomiting condition,275,0.8497,0.5964,0.2533
ctrgcn,limb_occlusion_mild,39,cross hands in front (say stop),276,0.936,0.7029,0.2331
ctrgcn,limb_occlusion_mild,40,sneeze/cough,276,0.7403,0.5326,0.2077
ctrgcn,limb_occlusion_mild,32,check time (from watch),276,0.901,0.7053,0.1957
ctrgcn,limb_occlusion_mild,37,salute,276,0.93,0.7367,0.1932
ctrgcn,limb_occlusion_mild,53,point finger at the other person,276,0.913,0.721,0.192
